gene	value
A1BG	4.69641779355541
A1BG-AS1	4.5894234743336
A1CF	6.31651874606929
A2M	13.7218732830023
A2M-AS1	5.09366995903116
A2ML1	1.58360632980284
A2MP1	2.58275068121955
A3GALT2	0.0
A4GALT	9.58264259775026
A4GNT	1.99828870283341
AA06	0.0
AAAS	9.62837905633936
AACS	9.91483660431474
AACSP1	1.58360632980284
AADAC	8.0699046812277
AADACL2	3.99657740566683
AADACL2-AS1	5.91093683570265
AADACL3	0.0
AADACL4	0.0
AADACP1	8.53572198718121
AADAT	5.58018373546967
AAED1	9.05564000012738
AAGAB	10.2837219157499
AAK1	11.5462491986438
AAMDC	10.6668221654312
AAMP	11.6125646709341
AANAT	3.45647156087381
AAR2	9.89540760326578
AARD	2.58275068121955
AARS	12.2691035496554
AARS2	9.57691128546255
AARSD1	9.2320741574079
AASDH	9.54257470242694
AASDHPPT	9.8181404149991
AASS	10.3284200200739
AATBC	5.24343713170148
AATF	10.8409028906497
AATK	6.44040985172953
ABALON	9.51813289001019
ABAT	8.62560838703295
ABCA1	13.2007354776382
ABCA10	8.5123464381533
ABCA11P	8.12227572579326
ABCA12	9.05833180408595
ABCA13	5.53069453125105
ABCA17P	2.80495281279575
ABCA2	9.18442744214685
ABCA3	7.64450507963867
ABCA4	4.24429278028478
ABCA5	10.821034350513
ABCA6	9.03938275335575
ABCA7	10.5926993982522
ABCA8	7.93571850405496
ABCA9	8.75740507742116
ABCA9-AS1	3.31908569181917
ABCB1	8.0700114521326
ABCB10	9.94567901641607
ABCB11	10.2883691831071
ABCB4	5.28014037177097
ABCB5	5.89919126985089
ABCB6	9.18934710767635
ABCB7	9.99643212301473
ABCB8	9.45542692204823
ABCB9	7.81985171216569
ABCC1	11.4964622253196
ABCC10	9.49370695137636
ABCC11	2.31994134040246
ABCC12	0.0
ABCC13	0.0
ABCC2	6.65251439352931
ABCC3	12.4436427900734
ABCC4	9.19669526598981
ABCC5	10.0082374198661
ABCC5-AS1	0.999144351416707
ABCC6	6.27928472318768
ABCC6P1	3.26473993569226
ABCC6P2	2.13894690155883
ABCC8	6.63817138363834
ABCC9	14.0568410049252
ABCD1	8.76727892548493
ABCD2	6.01721478254117
ABCD3	11.2022948582107
ABCD4	9.83863172542355
ABCE1	11.8559665647127
ABCF1	11.5350860003282
ABCF2	11.2010789487325
ABCF3	10.3737401490357
ABCG1	10.9206458252514
ABCG2	6.83963271708034
ABCG4	1.58360632980284
ABCG5	0.0
ABCG8	0.0
ABHD1	2.31994134040246
ABHD10	9.93400720688838
ABHD11	9.30214667881969
ABHD11-AS1	3.31908569181917
ABHD12	10.3530775912251
ABHD12B	3.16721265960568
ABHD13	10.8125143463942
ABHD14A	7.25117806906665
ABHD14A-ACY1	0.0
ABHD14B	9.86653183385361
ABHD15	8.49976235057534
ABHD16A	10.9199068041632
ABHD16B	7.16379006527251
ABHD17A	9.83392875028619
ABHD17B	9.13428462635066
ABHD17C	10.7548319798328
ABHD18	9.80791238873339
ABHD2	13.2408235724033
ABHD3	10.5560620637346
ABHD4	9.37567513919016
ABHD5	11.0646658892987
ABHD6	7.80709534041061
ABHD8	7.20328460707033
ABI1	11.6967769491718
ABI2	10.5347351027617
ABI3	7.79422507097253
ABI3BP	9.3735156472493
ABL1	11.0726666162268
ABL2	13.0088844344241
ABLIM1	12.1189046131152
ABLIM2	10.6825951439762
ABLIM3	11.5769255249124
ABO	2.80495281279575
ABR	11.9630936505722
ABRA	1.58360632980284
ABRACL	9.81018092155075
ABRAXAS1	9.10643828446612
ABRAXAS2	9.65883989177952
ABT1	9.76806784137086
ABTB1	7.27916847477496
ABTB2	7.73484301114162
ACAA1	10.116749674792
ACAA2	10.9585619977522
ACACA	11.7060272253313
ACACB	8.07533993890753
ACAD10	9.28437067096143
ACAD11	9.64159206451926
ACAD8	8.79659777894792
ACAD9	10.1548023489913
ACADL	5.82789911008762
ACADM	11.0191601738591
ACADS	8.80303288160388
ACADSB	10.1799945072787
ACADVL	12.9008569514437
ACAN	3.90354767020531
ACAP1	7.91803164901421
ACAP2	11.8820257198687
ACAP3	10.2355982597183
ACAT1	9.37567513919016
ACAT2	9.52696110983292
ACBD3	12.1979467934676
ACBD3-AS1	5.91332217564946
ACBD4	7.87675312721815
ACBD5	11.4293261706366
ACBD6	9.93839521819451
ACBD7	9.0641290020726
ACBD7-DCLRE1CP1	0.0
ACCS	8.31029583144524
ACCSL	2.31994134040246
ACD	8.05379880863325
ACE	9.03665529634348
ACE2	6.06089874983583
ACER1	0.0
ACER2	7.10244205789743
ACER3	10.6719497798377
ACHE	4.31823004323588
ACIN1	12.0120462401297
ACKR1	1.58360632980284
ACKR2	4.508997533079
ACKR3	8.2408701859516
ACKR4	6.47019247883041
ACLY	12.4916369753266
ACMSD	1.58360632980284
ACO1	11.4598278344677
ACO2	11.1953381825651
ACOD1	1.58360632980284
ACOT1	6.30584857935548
ACOT11	7.72809142689711
ACOT12	0.0
ACOT13	10.6602165118197
ACOT2	8.79204370341967
ACOT4	7.43657495179098
ACOT6	3.45647156087381
ACOT7	10.4329513761848
ACOT8	9.11323690512389
ACOT9	10.900782791657
ACOX1	11.9411277744614
ACOX2	5.51883572809458
ACOX3	9.49569380296717
ACOXL	1.99828870283341
ACOXL-AS1	2.58275068121955
ACP1	11.0424321230342
ACP2	9.93400720688838
ACP4	0.999144351416707
ACP5	10.8283547321841
ACP6	10.1884914590931
ACP7	7.92004709781199
ACPP	7.23221120856457
ACR	0.0
ACRBP	5.42162177895216
ACRV1	3.99657740566683
ACSBG1	2.99743305425012
ACSBG2	1.58360632980284
ACSF2	8.62197292331291
ACSF3	8.76068184028138
ACSL1	11.7924175587141
ACSL3	12.7370753465881
ACSL4	13.4142527085425
ACSL5	12.9927635481312
ACSL6	6.90410051054165
ACSM1	4.94995725933254
ACSM2A	2.60657701874295
ACSM2B	1.57396441692344
ACSM3	7.00142389476156
ACSM4	3.58189503263626
ACSM5	2.58275068121955
ACSM6	1.58360632980284
ACSS1	8.52408159605609
ACSS2	10.486874263403
ACSS3	7.91803164901421
ACTA1	0.0
ACTA2	12.7128421548051
ACTA2-AS1	5.53998831329084
ACTB	16.8812981875646
ACTBL2	8.33271402204478
ACTC1	0.999144351416707
ACTG1	15.4741470859487
ACTG1P17	6.71288682522461
ACTG1P20	7.51681103586188
ACTG1P4	4.94995725933254
ACTG2	6.40390674986343
ACTL10	5.69556214497212
ACTL6A	10.8740946146191
ACTL6B	1.58360632980284
ACTL7A	1.58360632980284
ACTL7B	1.58360632980284
ACTL8	0.0
ACTL9	0.0
ACTN1	13.6035200130811
ACTN1-AS1	1.58360632980284
ACTN2	4.31823004323588
ACTN3	0.0
ACTN4	14.9347033165184
ACTR10	10.8896384106471
ACTR1A	11.7452464782886
ACTR1B	10.6843370905337
ACTR2	13.296809661875
ACTR3	13.7700795040589
ACTR3B	7.68132238129019
ACTR3BP2	1.80168410777585
ACTR3BP5	2.17126800007088
ACTR3C	11.0645923435143
ACTR5	8.33715612294363
ACTR6	9.28206985546748
ACTR8	10.1536958930136
ACTRT1	3.80409716421245
ACTRT2	0.0
ACTRT3	5.48715400000815
ACVR1	10.5833936164106
ACVR1B	10.359634663643
ACVR1C	7.97616293755169
ACVR2A	9.29285189797857
ACVR2B	9.89859395002019
ACVR2B-AS1	5.31737439465259
ACVRL1	9.73501650441943
ACY1	10.239158888785
ACY3	9.37783140077537
ACYP1	7.47741226089682
ACYP2	7.86861150837996
ADA	6.45390461512393
ADA2	9.99337074186869
ADAD1	0.0
ADAD2	0.0
ADAL	7.33756817693936
ADAM10	12.5795802131583
ADAM11	2.31994134040246
ADAM12	10.0814788292671
ADAM15	12.9454714023622
ADAM17	11.5810621427948
ADAM18	0.0
ADAM19	10.7136325760966
ADAM1A	7.15374500301251
ADAM2	3.58189503263626
ADAM20	8.02103693017711
ADAM20P1	7.45950468114782
ADAM21	6.60684196952884
ADAM21P1	4.2556280465682
ADAM22	8.60365678613884
ADAM23	4.99572175708354
ADAM28	10.7597968318167
ADAM29	1.99828870283341
ADAM30	0.0
ADAM32	6.99401045991695
ADAM33	4.80324151562916
ADAM3A	0.999144351416707
ADAM3B	1.58360632980284
ADAM5	0.0
ADAM6	0.0
ADAM7	0.0
ADAM8	12.3649933628463
ADAM9	14.3899560123239
ADAMDEC1	7.97045417523484
ADAMTS1	11.4618594917469
ADAMTS10	7.90012507587213
