gene	value
A1BG	5.42382480169522
A1BG-AS1	5.95811855427691
A1CF	3.98023520163973
A2M	14.2907231084502
A2M-AS1	7.31572607166808
A2ML1	6.93037531925294
A2MP1	2.42735970986188
A3GALT2	0.0
A4GALT	9.01347611970328
A4GNT	6.01619924764161
AA06	0.0
AAAS	9.71185003642228
AACS	9.96213269308119
AACSP1	2.70233769924677
AADAC	3.13622077514803
AADACL2	1.65693077419742
AADACL2-AS1	5.62345822094329
AADACL3	0.0
AADACL4	0.0
AADACP1	4.18162770019738
AADAT	7.1951627064456
AAED1	9.03634711992114
AAGAB	10.9443764741944
AAK1	11.9120350806042
AAMDC	7.80668655559368
AAMP	12.0354986061106
AANAT	1.04540692504934
AAR2	9.96824291097188
AARD	2.74447594971998
AARS	12.5419345104321
AARS2	10.2246268551199
AARSD1	9.19258787549604
AASDH	9.65288995335648
AASDHPPT	10.4452061296693
AASS	10.2779153275243
AATBC	4.79315154934545
AATF	10.8764942869741
AATK	7.10292939834754
ABALON	8.5011533475644
ABAT	9.04386934691829
ABCA1	14.0424723236814
ABCA10	5.95927915717103
ABCA11P	8.19522378592153
ABCA12	5.80680565134569
ABCA13	5.29432280677286
ABCA17P	1.04540692504934
ABCA2	10.5161083608026
ABCA3	6.97539965937174
ABCA4	3.13622077514803
ABCA5	10.0584044536139
ABCA6	8.60748302830713
ABCA7	9.14892476424619
ABCA8	4.5917590507878
ABCA9	8.5655681524354
ABCA9-AS1	0.0
ABCB1	8.62244053985894
ABCB10	9.86520359584332
ABCB11	10.1807281870847
ABCB4	6.34153164767152
ABCB5	6.26227411418557
ABCB6	7.78090467331123
ABCB7	10.5868776880341
ABCB8	9.08092780556211
ABCB9	6.78662818330607
ABCC1	12.021497648959
ABCC10	9.28277782069736
ABCC11	4.27306196012497
ABCC12	0.0
ABCC13	1.38195278481254
ABCC2	11.2150423345789
ABCC3	12.6331951442285
ABCC4	10.7668633849458
ABCC5	10.6225176368115
ABCC5-AS1	0.0
ABCC6	6.11275073654833
ABCC6P1	4.61031739571235
ABCC6P2	3.16608716469733
ABCC8	2.70233769924677
ABCC9	14.0271738178543
ABCD1	8.69034540857892
ABCD2	7.82363283934559
ABCD3	11.2025408731783
ABCD4	9.1971362833677
ABCE1	11.8858501008744
ABCF1	11.7948133606778
ABCF2	10.7268240460191
ABCF3	10.1535429859885
ABCG1	10.8506740226436
ABCG2	7.84870050871207
ABCG4	2.09081385009869
ABCG5	2.93482827659038
ABCG8	1.04540692504934
ABHD1	4.18162770019738
ABHD10	10.0817540449705
ABHD11	9.95751325833236
ABHD11-AS1	6.09774361385899
ABHD12	10.3377606724332
ABHD12B	3.13622077514803
ABHD13	10.1995715442006
ABHD14A	7.52658732737818
ABHD14A-ACY1	0.0
ABHD14B	10.3970358592388
ABHD15	9.33387303189657
ABHD16A	10.3754677210858
ABHD16B	6.60898741005926
ABHD17A	9.29553225938532
ABHD17B	8.9997860612605
ABHD17C	10.197826947839
ABHD18	9.91356172955312
ABHD2	14.254293414097
ABHD3	9.59153084529929
ABHD4	9.46645496635063
ABHD5	10.2710799056726
ABHD6	8.1685809681186
ABHD8	7.62584704649994
ABI1	12.065825416135
ABI2	11.8667718789779
ABI3	8.66731019948512
ABI3BP	7.92149657089711
ABL1	11.1365579062534
ABL2	12.2495519888137
ABLIM1	12.5015538222792
ABLIM2	5.02564212668907
ABLIM3	7.62584704649994
ABO	3.61651377085809
ABR	12.4357167776466
ABRA	0.0
ABRACL	9.14892476424619
ABRAXAS1	8.40313852164661
ABRAXAS2	9.9723026802778
ABT1	9.58368241447552
ABTB1	7.48497907793043
ABTB2	8.97870175731035
ACAA1	9.93328639378822
ACAA2	10.8081866106024
ACACA	12.0937180812941
ACACB	9.01385888329858
ACAD10	9.58105716857946
ACAD11	10.0603752737593
ACAD8	8.36913534307231
ACAD9	10.1942092084093
ACADL	3.86846530707234
ACADM	10.4614156039686
ACADS	8.47123319058185
ACADSB	10.6350709313279
ACADVL	12.4842431501172
ACAN	7.08928040576932
ACAP1	9.79390153222967
ACAP2	12.6661973403641
ACAP3	8.57199425242753
ACAT1	9.7616145998354
ACAT2	10.7040107003633
ACBD3	12.2033627637181
ACBD3-AS1	5.5250093128649
ACBD4	8.40869381580036
ACBD5	11.5923998823404
ACBD6	9.38491060013326
ACBD7	8.97772208635257
ACBD7-DCLRE1CP1	0.0
ACCS	9.19374324844623
ACCSL	0.0
ACD	8.1618629018371
ACE	10.1499434535246
ACE2	2.42735970986188
ACER1	0.0
ACER2	7.15632270461364
ACER3	11.3144151624475
ACHE	7.53681247424881
ACIN1	12.2225658098442
ACKR1	6.89959458994452
ACKR2	4.5917590507878
ACKR3	9.72862133506479
ACKR4	7.50592668392635
ACLY	13.0133469894947
ACMSD	2.42735970986188
ACO1	10.8301539321379
ACO2	11.8129943132137
ACOD1	2.93482827659038
ACOT1	6.10539747545247
ACOT11	9.43803768344535
ACOT12	0.0
ACOT13	10.1437682774928
ACOT2	8.85085744043854
ACOT4	7.12986231738469
ACOT6	0.0
ACOT7	10.1336201781186
ACOT8	8.54283255245952
ACOT9	11.6962792788025
ACOX1	13.2559977903256
ACOX2	5.56358048500991
ACOX3	8.74621117996674
ACOXL	4.0842904840593
ACOXL-AS1	2.93482827659038
ACP1	11.4185453740328
ACP2	11.1071010179511
ACP4	0.0
ACP5	12.2684315367017
ACP6	8.87744203340476
ACP7	4.72765094300613
ACPP	7.6543943351086
ACR	1.65693077419742
ACRBP	6.22455805598169
ACRV1	2.09081385009869
ACSBG1	1.65693077419742
ACSBG2	2.93482827659038
ACSF2	9.19034256293221
ACSF3	9.26344161499165
ACSL1	12.0661542018696
ACSL3	12.6874246917811
ACSL4	12.6026757414987
ACSL5	10.6987352459097
ACSL6	7.78808187236603
ACSM1	4.5917590507878
ACSM2A	2.42735970986188
ACSM2B	0.0
ACSM3	8.52367382222074
ACSM4	0.0
ACSM5	3.61651377085809
ACSM6	3.13622077514803
ACSS1	10.2186300829898
ACSS2	10.8886885740962
ACSS3	7.15632270461364
ACTA1	0.0
ACTA2	13.8113241536569
ACTA2-AS1	5.3180252306965
ACTB	16.9102959833646
ACTBL2	1.65693077419742
ACTC1	3.13622077514803
ACTG1	16.2812318303293
ACTG1P17	7.01768169204503
ACTG1P20	7.63837920725743
ACTG1P4	4.91387223212168
ACTG2	8.36913534307231
ACTL10	5.12969740910865
ACTL6A	10.694534206883
ACTL6B	0.0
ACTL7A	1.65693077419742
ACTL7B	1.65693077419742
ACTL8	0.0
ACTL9	0.0
ACTN1	13.2911113740808
ACTN1-AS1	1.65693077419742
ACTN2	4.18162770019738
ACTN3	1.04540692504934
